English,EnumCode,Key,Simplified Chinese
Service assembly failed reason,SERVICE_ASSEMBLY_FAILED_REASON,java.ServiceAssemblyFailedReason,服务装配失败，原因
Service failed to start reason,SERVICE_FAILED_TO_START_REASON,java.ServiceFailedToStartReason,服务启动失败，原因
Service failed to check reason,SERVICE_FAILED_TO_CHECK_REASON,java.ServiceFailedToCheckReason,服务检查失败，原因
According to serviceId can not find this service,ACCORDING_TO_SERVICEID_CAN_NOT,java.accordingToServiceIdCanNot,根据serviceId查询不到此服务
The tasks under Distribution Services are blank and you have the option to reassemble the services,THE_TASKS_UNDER_DISTRIBUTION,java.theTasksUnderDistribution,分发服务下的任务为空，您可以选择重新装配服务
Could not find the cluster,COULD_NOT_FIND_THE_CLUSTER,java.couldNotFindTheCluster,找不到集群
Failed to mount the cluster,FAILED_TO_MOUNT_THE_CLUSTER,java.failedToMountTheCluster,挂载集群失败
Unsupported extractorVO type,UNSUPPORTED_EXTRACTORVO_TYPE,java.unsupportedExtractorVOType,不支持的extractorVO类型
Failed to delete node,FAILED_TO_DELETE_NODE,java.failedToDeleteNode,删除节点失败
surroundings,SURROUNDINGS,java.surroundings,环境
Call foolish interface URL is empty,CALL_FOOLISH_INTERFACE_URL_IS,java.callFoolishInterfaceURLIs,调用愚公接口URL为空
Call stupid interface parameters region can not be empty,CALL_STUPID_INTERFACE_PARAMETERS,java.callStupidInterfaceParameters,调用愚公接口参数region不可为空
Call the foolish interface return message is empty,CALL_THE_FOOLISH_INTERFACE_RETURN,java.callTheFoolishInterfaceReturn,调用愚公接口返回消息为空
Call foolish interface error,CALL_FOOLISH_INTERFACE_ERROR,java.callFoolishInterfaceError,调用愚公接口出错
The task has been deleted,THE_TASK_HAS_BEEN_DELETED,java.theTaskHasBeenDeleted,任务已被删除
Request foolish interface failed,REQUEST_FOOLISH_INTERFACE_FAILED,java.requestFoolishInterfaceFailed,请求愚公接口失败
Correct configuration,CORRECT_CONFIGURATION,java.correctConfiguration,配置正确
Shadow table marked correctly,SHADOW_TABLE_MARKED_CORRECTLY,java.shadowTableMarkedCorrectly,影子表标记正确
No unitization task,NO_UNITIZATION_TASK,java.noUnitizationTask,没有单元化任务
Cell marked correctly,CELL_MARKED_CORRECTLY,java.cellMarkedCorrectly,单元化标记正确
Memory is too low,MEMORY_IS_TOO_LOW,java.memoryIsTooLow,内存过低
The upstream distribution service is running abnormally,THE_UPSTREAM_DISTRIBUTION,java.theUpstreamDistribution,上游分发服务运行异常
Distribution service memory is too low,DISTRIBUTION_SERVICE_MEMORY_IS,java.distributionServiceMemoryIs,分发服务内存过低
Distribution pipeline is incorrect,DISTRIBUTION_PIPELINE_IS,java.distributionPipelineIs,分发服务pipeline不正确
Incorrect,INCORRECT,java.incorrect,不正确
No subscription table,NO_SUBSCRIPTION_TABLE,java.noSubscriptionTable,没有订阅表
No shadow table is configured,NO_SHADOW_TABLE_IS_CONFIGURED,java.noShadowTableIsConfigured,没有配置影子表
Incremental channel,INCREMENTAL_CHANNEL,java.incrementalChannel,增量通道
Jingwei channel,JINGWEI_CHANNEL,java.jingweiChannel,精卫通道
Unit environment is not marking,UNIT_ENVIRONMENT_IS_NOT_MARKING,java.unitEnvironmentIsNotMarking,单元环境未打标
Failure service accessTable is empty the service will be stopped and deleted,FAILURE_SERVICE_ACCESSTABLE_IS,java.FailureServiceAccessTableIs,失败，服务下accessTable为空，服务也会被停止和删除
Failed to create consumer group,FAILED_TO_CREATE_CONSUMER_GROUP,java.failedToCreateConsumerGroup,创建消费分组失败
Error registering channel,ERROR_REGISTERING_CHANNEL,java.errorRegisteringChannel,注册通道时出错
The list of the tables you choose to subscribe to is empty. If you do not want to cancel the subscription you can delete the task,THE_LIST_OF_THE_TABLES_YOU_CHOOSE,java.TheListOfTheTablesYouChoose,您选择订阅的表的列表为空，如果想却不取消订阅，可以删除任务（通道
Channel has been deleted,CHANNEL_HAS_BEEN_DELETED,java.channelHasBeenDeleted,通道已经被删除
Error adding table,ERROR_ADDING_TABLE,java.errorAddingTable,添加表时出错
An error occurred while editing the table,AN_ERROR_OCCURRED_WHILE_EDITING,java.anErrorOccurredWhileEditing,编辑表时出错
Error deleting table,ERROR_DELETING_TABLE,java.errorDeletingTable,删除表时出错
Different libraries exist in the same name table,DIFFERENT_LIBRARIES_EXIST_IN_THE,java.differentLibrariesExistInThe,不同的库中存在同名的表
Does not support schema features rename one of them,DOES_NOT_SUPPORT_SCHEMA_FEATURES,java.DoesNotSupportSchemaFeatures,不支持schema特性，请重命名其中的一个
Can not point more than one table to the same target table,CAN_NOT_POINT_MORE_THAN_ONE_TABLE_TO,java.canNotPointMoreThanOneTableTo,不能把多张表指向相同的目标表
Create oracle connection failed,CREATE_ORACLE_CONNECTION_FAILED,java.createOracleConnectionFailed,创建oracle连接失败
Generate sql failed,GENERATE_SQL_FAILED,java.generateSqlFailed,生成sql失败
Now do not support DRDS automatically create the table structure,NOW_DO_NOT_SUPPORT_DRDS,java.nowDoNotSupportDRDS,暂不支持DRDS上，自动创建表结构
Unsupported target storage type,UNSUPPORTED_TARGET_STORAGE_TYPE,java.unsupportedTargetStorageType,不支持的目标存储类型
Create a successful table,CREATE_A_SUCCESSFUL_TABLE,java.createASuccessfulTable,创建成功的表
Create a failed table,CREATE_A_FAILED_TABLE,java.createAFailedTable,创建失败的表
Failed to create the target library,FAILED_TO_CREATE_THE_TARGET,java.failedToCreateTheTarget,到目标库创建表失败
Environment list is empty,ENVIRONMENT_LIST_IS_EMPTY,java.environmentListIsEmpty,环境列表为空
Mission,MISSION,java.mission,任务的
Abnormal please contact drc duty to solve,ABNORMAL_PLEASE_CONTACT_DRC_DUTY,java.AbnormalPleaseContactDrcDuty,发生异常，请联系drc值班解决
Target library data write constraint conflict if you do not want to card master synchronization task you can choose dynamic switch open skip applier exception abnormal data will be automatically ignored follow-up business need to carry out their own data correction,TARGET_LIBRARY_DATA_WRITE,java.TargetLibraryDataWrite,目标库数据写入有约束冲突，如果不想卡主同步任务，可以选择动态开关，打开跳过applier异常，此时异常数据会被自动忽略，后续业务需要自行进行数据订正
If the target library does not have the corresponding column add the corresponding column in the corresponding target table. If you do not need the automatic synchronization of the new column in the source library you can re-edit the mapping to enable the fixed field,IF_THE_TARGET_LIBRARY_DOES_NOT,java.IfTheTargetLibraryDoesNot,目标库缺少对应的列，请在对应目标表增加对应列，如果不需要源库新增列的自动同步，可以重新编辑任务开启固化字段的映射关系
Write to the target database link pool is not enough contact the corresponding DBA adjust the size of the link pool to solve,WRITE_TO_THE_TARGET_DATABASE_LINK,java.WriteToTheTargetDatabaseLink,写入目标数据库链接池不够用，联系对应DBA调整链接池大小来解决
There must be a unique constraint on the target table check the target table; if there is a unique constraint on the target table check the filter code,THERE_MUST_BE_A_UNIQUE_CONSTRAINT,java.ThereMustBeAUniqueConstraint,目标表必须存在唯一约束，请检查目标表；如果目标表存在唯一约束，请检查过滤代码
The target library does not exist in this table or there is a problem with the target library rules. Please check the target library exists in this table or check mc sub-library sub-table rules (may be sub-table does not configure the rules resulting in error as a single table,THE_TARGET_LIBRARY_DOES_NOT_EXIST,java.TheTargetLibraryDoesNotExist,目标库不存在此表，或者目标库规则有问题。请检查目标库是否存在此表，或者检查mc的分库分表规则（可能是分表没有配置规则，导致误当做单表处理
Written to the target table there is a code does not match the problem please contact the DBA to adjust the link string code to solve,WRITTEN_TO_THE_TARGET_TABLE_THERE,java.WrittenToTheTargetTableThere,写入目标表存在编码不匹配问题，请联系DBA调整链接串编码来解决
The task occurs oom the system will automatically increase the task memory please observe later whether the task is running abnormal,THE_TASK_OCCURS_OOM_THE_SYSTEM,java.TheTaskOccursOomTheSystem,任务发生oom，系统会自动增加任务内存，请稍后再观察任务是否运行异常
Pull,PULL,java.pull,拉取
Of the site has expired the daily environment system will automatically clean the task site and then observe the task is abnormal operation; online environment please contact drc duty to see if the site is valid,OF_THE_SITE_HAS_EXPIRED_THE_DAILY,java.OfTheSiteHasExpiredTheDaily,的位点已过期，日常环境系统会自动清理任务位点，稍后再观察任务是否运行异常；线上环境请联系drc值班，查看位点是否有效
Custom consumer spending tasks please check the business logic of business consumption,CUSTOM_CONSUMER_SPENDING_TASKS,java.CustomConsumerSpendingTasks,任务自定义消费异常，请业务自行检查业务消费逻辑
Task tar packet is not normal please check the task of self-defined business package,TASK_TAR_PACKET_IS_NOT_NORMAL,java.TaskTarPacketIsNotNormal,任务tar包不正常，请业务自行检查任务自定义包
Did not find the table,DID_NOT_FIND_THE_TABLE,java.didNotFindTheTable,没有找到表的
Please confirm whether the target is split library if not please re-edit the task to select non-sub-library,PLEASE_CONFIRM_WHETHER_THE,java.PleaseConfirmWhetherThe,请确认目标是否为拆分库，如果不是请重新编辑任务选择非分库分表
Waiting for scanning,WAITING_FOR_SCANNING,java.waitingForScanning,等待扫描
Scanning,SCANNING,java.scanning,正在扫描
normal,NORMAL,java.normal,正常
No tasks in the distribution service,NO_TASKS_IN_THE_DISTRIBUTION,java.noTasksInTheDistribution,分发服务中没有任务
Quantity and,QUANTITY_AND,java.quantityAnd,数量与
The number does not match,THE_NUMBER_DOES_NOT_MATCH,java.theNumberDoesNotMatch,数量不匹配
Only heartbeat table,ONLY_HEARTBEAT_TABLE,java.onlyHeartbeatTable,中只有heartbeat表
The number and filterStr are not normal,THE_NUMBER_AND_FILTERSTR_ARE_NOT,java.theNumberAndFilterStrAreNot,数量与filterStr均不正常
Smooth expansion,SMOOTH_EXPANSION,java.smoothExpansion,平滑扩容
Incremental tasks asynchronous processing,INCREMENTAL_TASKS_ASYNCHRONOUS,java.incrementalTasksAsynchronous,增量任务异步处理
Small table broadcast tasks asynchronous processing,SMALL_TABLE_BROADCAST_TASKS,java.smallTableBroadcastTasks,小表广播任务异步处理
Jingwei distribution services asynchronously build,JINGWEI_DISTRIBUTION_SERVICES,java.jingweiDistributionServices,精卫分发服务异步构建
Small table broadcast timed proofreading service,SMALL_TABLE_BROADCAST_TIMED,java.smallTableBroadcastTimed,小表广播定时校对服务
Environmental change events,ENVIRONMENTAL_CHANGE_EVENTS,java.environmentalChangeEvents,环境改变事件
Channel related events,CHANNEL_RELATED_EVENTS,java.channelRelatedEvents,通道相关事件
Jingwei binlog distribution platform channel audit through the incident,JINGWEI_BINLOG_DISTRIBUTION,java.jingweiBinlogDistribution,精卫的binlog分发平台通道审核通过事件
Jingwei binlog distribution platform channel ready event,JINGWEI_BINLOG_DISTRIBUTION,java.jingweiBinlogDistribution,精卫的binlog分发平台通道就绪事件
Jingwei binlog distribution platform channel ready failure event,JINGWEI_BINLOG_DISTRIBUTION,java.jingweiBinlogDistribution,精卫的binlog分发平台通道就绪失败事件
Jingwei binlog distribution platform assembly services and restart events,JINGWEI_BINLOG_DISTRIBUTION,java.jingweiBinlogDistribution,精卫的binlog分发平台装配服务并重启事件
Jingwei binlog distribution platform to stop the service and delete the incident,JINGWEI_BINLOG_DISTRIBUTION,java.jingweiBinlogDistribution,精卫的binlog分发平台停止服务并删除事件
Create completed,CREATE_COMPLETED,java.createCompleted,创建完成
Assembly is complete waiting to start,ASSEMBLY_IS_COMPLETE_WAITING_TO,java.AssemblyIsCompleteWaitingTo,装配完成，等待启动
Start completed,START_COMPLETED,java.startCompleted,启动完成
Newly created pending review,NEWLY_CREATED_PENDING_REVIEW,java.NewlyCreatedPendingReview,新创建，等待审核
examination passed,EXAMINATION_PASSED,java.examinationPassed,审核通过
Audit not passed,AUDIT_NOT_PASSED,java.auditNotPassed,审核不通过
Channel ready,CHANNEL_READY,java.channelReady,通道就绪
re-edit,RE-EDIT,java.re-edit,重新编辑
abnormal,ABNORMAL,java.abnormal,异常
does not exist,DOES_NOT_EXIST,java.doesNotExist,不存在
Full operation,FULL_OPERATION,java.fullOperation,全量运行中
Full completion,FULL_COMPLETION,java.fullCompletion,全量完成
Take the site to complete,TAKE_THE_SITE_TO_COMPLETE,java.takeTheSiteToComplete,取位点完成
Take the site,TAKE_THE_SITE,java.takeTheSite,取位点中
Incremental consumption,INCREMENTAL_CONSUMPTION,java.incrementalConsumption,增量消费中
Incremental catch up,INCREMENTAL_CATCH_UP,java.incrementalCatchUp,增量追上
Stop writing,STOP_WRITING,java.stopWriting,停写
running,RUNNING,java.running,正在运行
Error status,ERROR_STATUS,java.errorStatus,错误状态
deleted,DELETED,java.deleted,已删除
system error,SYSTEM_ERROR,java.systemError,系统错误
Channel creation status,CHANNEL_CREATION_STATUS,java.channelCreationStatus,通道创建状态
Consumer status,CONSUMER_STATUS,java.consumerStatus,消费者状态
The last update time for all partitions,THE_LAST_UPDATE_TIME_FOR_ALL,java.theLastUpdateTimeForAll,所有分区的最后更新时间
Consumption accumulation situation,CONSUMPTION_ACCUMULATION,java.consumptionAccumulation,消费堆积情况
Jingwei data upstream,JINGWEI_DATA_UPSTREAM,java.jingweiDataUpstream,精卫数据上游
The maximum delay,THE_MAXIMUM_DELAY,java.theMaximumDelay,的最大延迟
Pull the source table sub-library to write MetaQ progress,PULL_THE_SOURCE_TABLE_SUB-LIBRARY,java.pullTheSourceTableSub-library,拉取源表各分库写MetaQ的进度
You must pass the taskId || taskName parameter,YOU_MUST_PASS_THE_TASKID_||,java.youMustPassTheTaskId||,必须传递taskId||taskName参数
The serviceId parameter must be passed,THE_SERVICEID_PARAMETER_MUST_BE,java.theServiceIdParameterMustBe,必须传递serviceId参数
You must pass the nodeId parameter,YOU_MUST_PASS_THE_NODEID_PARAMETER,java.youMustPassTheNodeIdParameter,必须传递nodeId参数
Common tasks,COMMON_TASKS,java.commonTasks,普通任务
Single task service,SINGLE_TASK_SERVICE,java.singleTaskService,单任务服务
Free mission,FREE_MISSION,java.freeMission,游离任务
Call the back door success (if you are not authorized administrator users to stop operating or held accountable,CALL_THE_BACK_DOOR_SUCCESS_(IF_YOU,java.CallTheBackDoorSuccess(ifYou,调用后门成功(如果非正式授权管理员用户请停止继续操作，否则追究法律责任
Belonging to the internal does not carry UserDO console request permission authentication you can manipulate the task,BELONGING_TO_THE_INTERNAL_DOES,java.BelongingToTheInternalDoes,属于内部不携带UserDO的console请求，权限认证通过，可以操纵任务
Is an administrator open all permissions,IS_AN_ADMINISTRATOR_OPEN_ALL,java.IsAnAdministratorOpenAll,是管理员，开放所有权限
Can not find the task to be manipulated,CAN_NOT_FIND_THE_TASK_TO_BE,java.canNotFindTheTaskToBe,找不到要操纵的任务
This operation is not on the server side temporarily let go,THIS_OPERATION_IS_NOT_ON_THE,java.ThisOperationIsNotOnThe,该操作没有在服务端归类，暂时放过
Unknown operation type,UNKNOWN_OPERATION_TYPE,java.unknownOperationType,未知的操作类型
Resource operation permission verification is abnormal,RESOURCE_OPERATION_PERMISSION,java.resourceOperationPermission,资源操作权限验证异常
Empty authorization failed,EMPTY_AUTHORIZATION_FAILED,java.EmptyAuthorizationFailed,为空，授权失败
Error please make sure the accessKey is correct,ERROR_PLEASE_MAKE_SURE_THE,java.ErrorPleaseMakeSureThe,错误，请确保accessKey的正确性
Can not find user name,CAN_NOT_FIND_USER_NAME,java.canNotFindUserName,找不到用户名为
Of users failed to call openAPI,OF_USERS_FAILED_TO_CALL_OPENAPI,java.OfUsersFailedToCallOpenAPI,的用户，调用openAPI失败
User permissions through the certification you can manipulate the task,USER_PERMISSIONS_THROUGH_THE,java.UserPermissionsThroughThe,用户权限认证通过，可以操纵任务
Can not find the name,CAN_NOT_FIND_THE_NAME,java.canNotFindTheName,找不到名为
Aone application failed to call openAPI,AONE_APPLICATION_FAILED_TO_CALL,java.AoneApplicationFailedToCall,的aone应用，调用openAPI失败
User authority authentication failed can not manipulate the task,USER_AUTHORITY_AUTHENTICATION,java.UserAuthorityAuthentication,用户权限认证失败，无法操纵任务
Can not be empty,CAN_NOT_BE_EMPTY,java.canNotBeEmpty,不能为空
Is the administrator to call OpenAPI the signature verification is successful call the open interface non-Prudential administrator forbid using this interface,IS_THE_ADMINISTRATOR_TO_CALL,java.IsTheAdministratorToCall,是管理员调用OpenAPI，签名验证成功，调用开放接口，非精卫管理员严禁使用该接口
Must be a number,MUST_BE_A_NUMBER,java.mustBeANumber,必须为数字
Has expired expired time is,HAS_EXPIRED_EXPIRED_TIME_IS,java.HasExpiredExpiredTimeIs,已经过期，过期时间为
minute,MINUTE,java.minute,分钟
Call openAPI failed to find the corresponding ak information on the server please confirm the accuracy of accessKey,CALL_OPENAPI_FAILED_TO_FIND_THE,java.CallOpenAPIFailedToFindThe,调用openAPI失败，无法在服务端查找到相应的ak信息，请确认accessKey的准确性
Incorrect please check AK information,INCORRECT_PLEASE_CHECK_AK,java.IncorrectPleaseCheckAK,不正确，请检查AK信息
Signature verification success call the open interface,SIGNATURE_VERIFICATION_SUCCESS,java.SignatureVerificationSuccess,签名验证成功，调用开放接口
Signature verification failed please confirm your signature information is accurate,SIGNATURE_VERIFICATION_FAILED,java.SignatureVerificationFailed,签名验证失败，请确认自己的签名信息是否准确
The cluster republishes the new version,THE_CLUSTER_REPUBLISHES_THE_NEW,java.theClusterRepublishesTheNew,集群重新发布新版本
Cluster Leader Switch to,CLUSTER_LEADER_SWITCH_TO,java.clusterLeaderSwitchTo,集群Leader切换至
Console republish,CONSOLE_REPUBLISH,java.consoleRepublish,控制台重新发布
Must be uppercase,MUST_BE_UPPERCASE,java.mustBeUppercase,必须为大写
Please check sub-library sub-table rule configuration is correct after confirmation there is this problem please contact MC's classmates: @ Mexico City,PLEASE_CHECK_SUB-LIBRARY,java.PleaseCheckSub-library,请先检查分库分表规则配置是否正确，确认后还有此问题，请联系MC的同学：@墨城
Man sparse,MAN_SPARSE,java.manSparse,文疏
Waiting for proofing status,WAITING_FOR_PROOFING_STATUS,java.waitingForProofingStatus,等待校对状态
Full verification status,FULL_VERIFICATION_STATUS,java.fullVerificationStatus,全量校验状态
Full revised state,FULL_REVISED_STATE,java.fullRevisedState,全量订正状态
Revised review status,REVISED_REVIEW_STATUS,java.revisedReviewStatus,订正复查状态
Illegal status,ILLEGAL_STATUS,java.illegalStatus,非法状态
Jade 璁,JADE_璁,java.jade璁,玉璁
Delay tolerance time,DELAY_TOLERANCE_TIME,java.delayToleranceTime,延迟容忍时间
Peak,PEAK,java.peak,峰值
User comments,USER_COMMENTS,java.userComments,用户备注
Administrator Notes,ADMINISTRATOR_NOTES,java.administratorNotes,管理员备注
Jingwei mission exception notification,JINGWEI_MISSION_EXCEPTION,java.jingweiMissionException,精卫任务异常通知
Should be,SHOULD_BE,java.shouldBe,应该为
start up,START_UP,java.startUp,启动
A writer the actual start,A_WRITER_THE_ACTUAL_START,java.AWriterTheActualStart,个writer，实际启动
hour,HOUR,java.hour,小时
Distributed in,DISTRIBUTED_IN,java.distributedIn,分布在
A sub-library there,A_SUB-LIBRARY_THERE,java.ASub-libraryThere,个分库，有
Pulls out a sub-library delay the maximum delay is,PULLS_OUT_A_SUB-LIBRARY_DELAY_THE,java.PullsOutASub-libraryDelayThe,个分库的拉取出现延迟，最大延迟为
Jingwei v3 mission,JINGWEI_V3_MISSION,java.jingweiV3Mission,精卫v3任务
Please pay attention to this delay is normal,PLEASE_PAY_ATTENTION_TO_THIS_DELAY,java.pleasePayAttentionToThisDelay,请关注一下出现此延迟是否正常
Delay there,DELAY_THERE,java.delayThere,的延迟有
The set alarm threshold has been exceeded,THE_SET_ALARM_THRESHOLD_HAS_BEEN,java.theSetAlarmThresholdHasBeen,已经超过设置的报警阀值
Delay more than 1 day,DELAY_MORE_THAN_1_DAY,java.delayMoreThan1Day,延迟超过1天时drc增量数据会自动删除触发数据丢失
Metaq incremental data delayed more than 3 days automatically triggers the loss of data,METAQ_INCREMENTAL_DATA_DELAYED,java.metaqIncrementalDataDelayed,延迟超过3天metaq增量数据会自动删除触发数据丢失
Alarm sender please timely maintenance of mission contacts or associated aone appOps alarm time,ALARM_SENDER_PLEASE_TIMELY,java.AlarmSenderPleaseTimely,报警发送人请及时维护任务联系人或关联aone应用的appOps，报警时间
Task link,TASK_LINK,java.taskLink,任务链接
Possible Causes,POSSIBLE_CAUSES,java.possibleCauses,可能原因
On duty,ON_DUTY,java.onDuty,值班
Solution,SOLUTION,java.solution,解决办法
Solution: Concerned about the details of anomalies such as opening skip applier exception,SOLUTION:_CONCERNED_ABOUT_THE,java.Solution:ConcernedAboutThe,解决办法：关注详细异常，比如开启跳过applier异常
Abnormal details,ABNORMAL_DETAILS,java.abnormalDetails,详细异常
Too large for the present,TOO_LARGE_FOR_THE_PRESENT,java.tooLargeForThePresent,过大目前为
Solution: Increase the use of mission resources,SOLUTION:_INCREASE_THE_USE_OF,java.solution:IncreaseTheUseOf,解决办法：调大任务资源使用
"Synchronous processing of RT too slow is currently "") .append (rt) .append ("" ms",SYNCHRONOUS_PROCESSING_OF_RT_TOO,java.SynchronousProcessingOfRTToo,"同步处理RT过慢目前为"").append(rt).append(""毫秒"
Synchronous queue accumulation is currently,SYNCHRONOUS_QUEUE_ACCUMULATION,java.synchronousQueueAccumulation,同步队列堆积目前为
Solution: optimize synchronization performance,SOLUTION:_OPTIMIZE,java.solution:Optimize,解决办法：优化同步处理性能
Detailed statistics,DETAILED_STATISTICS,java.detailedStatistics,详细统计
Has not received a new incremental change data solution: Login IDB to observe whether there is DDL change or DB operation and maintenance operations,HAS_NOT_RECEIVED_A_NEW,java.HasNotReceivedANew,一直没收到新的增量变更数据，解决办法：登录IDB观察是否有DDL变更或DB的运维操作
No statistics tasks may not be started or the client version is too low,NO_STATISTICS_TASKS_MAY_NOT_BE,java.NoStatisticsTasksMayNotBe,无统计数据，任务可能未启动或者客户端版本过低
Synchronization table,SYNCHRONIZATION_TABLE,java.synchronizationTable,同步表
Version table,VERSION_TABLE,java.versionTable,版本表
History table,HISTORY_TABLE,java.historyTable,历史表
Check Topology error,CHECK_TOPOLOGY_ERROR,java.checkTopologyError,查询Topology出错
The primary key is not a number can not count the progress information,THE_PRIMARY_KEY_IS_NOT_A_NUMBER_CAN,java.ThePrimaryKeyIsNotANumberCan,主键为非数字，无法统计进度信息
Unsubscribe,UNSUBSCRIBE,java.unsubscribe,退订
The number of update type messages today,THE_NUMBER_OF_UPDATE_TYPE_MESSAGES,java.theNumberOfUpdateTypeMessages,今天update类型消息数量
Today delete type message number,TODAY_DELETE_TYPE_MESSAGE_NUMBER,java.todayDeleteTypeMessageNumber,今天delete类型消息数量
Today the number of insert type messages,TODAY_THE_NUMBER_OF_INSERT_TYPE,java.TodayTheNumberOfInsertType,今天insert类型消息数量
Machine name,MACHINE_NAME,java.machineName,机器名
The last fifteen minutes insert message delay time,THE_LAST_FIFTEEN_MINUTES_INSERT,java.theLastFifteenMinutesInsert,最近十五分钟insert消息延时时间
Update message last fifteen minutes delay time,UPDATE_MESSAGE_LAST_FIFTEEN,java.updateMessageLastFifteen,最近十五分钟update消息延时时间
The last fifteen minutes delete message delay time,THE_LAST_FIFTEEN_MINUTES_DELETE,java.theLastFifteenMinutesDelete,最近十五分钟delete消息延时时间
The last fifteen minutes insert the average entrance message,THE_LAST_FIFTEEN_MINUTES_INSERT,java.theLastFifteenMinutesInsert,最近十五分钟insert消息平均入口
The latest 15 minutes update message average entrance,THE_LATEST_15_MINUTES_UPDATE,java.theLatest15MinutesUpdate,最近十五分钟update消息平均入口
The last fifteen minutes delete message average entrance,THE_LAST_FIFTEEN_MINUTES_DELETE,java.theLastFifteenMinutesDelete,最近十五分钟delete消息平均入口
The last fifteen minute insert message average exports,THE_LAST_FIFTEEN_MINUTE_INSERT,java.theLastFifteenMinuteInsert,最近十五分钟insert消息平均出口
The latest 15 minutes update the average export of information,THE_LATEST_15_MINUTES_UPDATE_THE,java.theLatest15MinutesUpdateThe,最近十五分钟update消息平均出口
The last fifteen minutes delete message average exports,THE_LAST_FIFTEEN_MINUTES_DELETE,java.theLastFifteenMinutesDelete,最近十五分钟delete消息平均出口
information,INFORMATION,java.information,信息
Task name,TASK_NAME,java.taskName,任务名
Service Name,SERVICE_NAME,java.serviceName,服务名
Exception type,EXCEPTION_TYPE,java.exceptionType,异常类型
Abnormal information,ABNORMAL_INFORMATION,java.abnormalInformation,简要异常信息
Free memory size,FREE_MEMORY_SIZE,java.freeMemorySize,空闲内存大小
Cluster name,CLUSTER_NAME,java.clusterName,集群名
Information collection time,INFORMATION_COLLECTION_TIME,java.informationCollectionTime,信息收集时间
Statistics Time,STATISTICS_TIME,java.statisticsTime,统计时间
And check value,AND_CHECK_VALUE,java.andCheckValue,和校验值
name,NAME,java.name,名称
version,VERSION,java.version,版本
The average rt time of the message,THE_AVERAGE_RT_TIME_OF_THE_MESSAGE,java.theAverageRtTimeOfTheMessage,消息的平均rt时间
Total contains methods,TOTAL_CONTAINS_METHODS,java.totalContainsMethods,中总计包含方法
All the audited methods in the list below are altogether,ALL_THE_AUDITED_METHODS_IN_THE_LIST,java.allTheAuditedMethodsInTheList,中所有被审计的方法列表如下，总共有
All the un-audited methods listed below in total,ALL_THE_UN-AUDITED_METHODS,java.AllTheUn-auditedMethods,中所有没有被审计的方法列表如下，总共有
Clear the site,CLEAR_THE_SITE,java.clearTheSite,清空位点
Back to the news,BACK_TO_THE_NEWS,java.backToTheNews,消息回溯
Mount the cluster,MOUNT_THE_CLUSTER,java.mountTheCluster,挂载集群
release,RELEASE,java.release,发布
Switch,SWITCH,java.switch,切换
Delete the zk node,DELETE_THE_ZK_NODE,java.deleteTheZkNode,删除zk节点
Empty the DDL version,EMPTY_THE_DDL_VERSION,java.emptyTheDDLVersion,清空DDL版本
The value of the replacement format is wrong please check,THE_VALUE_OF_THE_REPLACEMENT,java.TheValueOfTheReplacement,的value替换格式不对，请检查
The value of the replacement format is wrong the target str is empty please check,THE_VALUE_OF_THE_REPLACEMENT,java.TheValueOfTheReplacement,的value替换格式不对，目标str为空，请检查
Unsupported environment name,UNSUPPORTED_ENVIRONMENT_NAME,java.unsupportedEnvironmentName,不支持的环境名
Profile,PROFILE,java.profile,配置文件
on Sunday,ON_SUNDAY,java.onSunday,星期日
Monday,MONDAY,java.monday,星期一
Tuesday,TUESDAY,java.tuesday,星期二
Wednesday,WEDNESDAY,java.wednesday,星期三
Thursday,THURSDAY,java.thursday,星期四
Friday,FRIDAY,java.friday,星期五
on Saturday,ON_SATURDAY,java.onSaturday,星期六
Failed to obtain user's login information outside the environment,FAILED_TO_OBTAIN_USERS_LOGIN,java.failedToObtainUsersLogin,弹外环境获取用户的登陆信息失败
Deployment does not support cellization,DEPLOYMENT_DOES_NOT_SUPPORT,java.deploymentDoesNotSupport,的部署方式不支持单元化
Can not find the central environment,CAN_NOT_FIND_THE_CENTRAL,java.canNotFindTheCentral,找不到中心环境
This method can only be called in a central environment,THIS_METHOD_CAN_ONLY_BE_CALLED_IN_A,java.thisMethodCanOnlyBeCalledInA,只有在中心环境才能调用此方法
Log has been cleared,LOG_HAS_BEEN_CLEARED,java.logHasBeenCleared,日志已被清理
Please upgrade,PLEASE_UPGRADE,java.pleaseUpgrade,请升级
The above version in order to use the console to view the log function,THE_ABOVE_VERSION_IN_ORDER_TO_USE,java.TheAboveVersionInOrderToUse,以上版本，才能使用控制台查看日志的功能
Create data source exception,CREATE_DATA_SOURCE_EXCEPTION,java.createDataSourceException,创建数据源异常
Failed to get connection,FAILED_TO_GET_CONNECTION,java.failedToGetConnection,获取连接失败
Query table statement failed,QUERY_TABLE_STATEMENT_FAILED,java.queryTableStatementFailed,查询建表语句失败
Failed to create table,FAILED_TO_CREATE_TABLE,java.failedToCreateTable,创建表失败
Environment variable env can not be empty,ENVIRONMENT_VARIABLE_ENV_CAN_NOT,java.environmentVariableEnvCanNot,环境变量env不可为空
Unsupported,UNSUPPORTED,java.unsupported,不支持的
form,FORM,java.form,形式
